District: Descending,Count,Arrest: Descending,Count,Domestic: Descending,Count
11,"18,004",FALSE,"11,545",FALSE,"8,832"
11,"18,004",FALSE,"11,545",TRUE,"2,713"
11,"18,004",TRUE,"6,459",FALSE,"5,946"
11,"18,004",TRUE,"6,459",TRUE,513
6,"16,511",FALSE,"12,757",FALSE,"9,720"
6,"16,511",FALSE,"12,757",TRUE,"3,037"
6,"16,511",TRUE,"3,754",FALSE,"3,110"
6,"16,511",TRUE,"3,754",TRUE,644
8,"16,509",FALSE,"13,819",FALSE,"11,406"
8,"16,509",FALSE,"13,819",TRUE,"2,413"
8,"16,509",TRUE,"2,690",FALSE,"2,219"
8,"16,509",TRUE,"2,690",TRUE,471
1,"15,389",FALSE,"12,931",FALSE,"12,390"
1,"15,389",FALSE,"12,931",TRUE,541
1,"15,389",TRUE,"2,458",FALSE,"2,355"
1,"15,389",TRUE,"2,458",TRUE,103
18,"15,059",FALSE,"12,720",FALSE,"12,224"
18,"15,059",FALSE,"12,720",TRUE,496
18,"15,059",TRUE,"2,339",FALSE,"2,230"
18,"15,059",TRUE,"2,339",TRUE,109
,"81,472",,,,
Arrest,"17,700",,,,
Domestic,"11,040",,,,
DA,"1,840",,,,
